Lineage  ploidy  1x    H2A   H2B   H3    H4
MV35     2x      19    2173  2262  2197  2131
Ianthe   2x      3     562   607   620   532
GR15     2x      17    340   346   345   341
HP14     2x      12.5  261   271   271   264
BR2      2x      16    211   211   212   207
Pg14     2x      18    185   200   186   184
MP2      2x      19    138   145   140   140
Yellow2  2x      23    112   117   109   94
LY1      2x      18    93    92    90    92
Kn4      2x      20    42    41    45    41
Rr3      3x      16    5291  5397  5391  5307
GR6      3x      18    3856  3980  3905  3913
TP1      3x      10    2949  2999  3012  2874
Ax36G    3x      11    2469  2508  2499  2382
Br       3x      8     2029  2127  2028  2061
Kan      3x      6     1446  1535  1532  1470
Po92     3x      10    1185  1194  1212  1182
Pg7      3x      16    1160  1194  1182  1162
MP7      3x      18    1028  1065  1045  1047
Waik     3x      8     907   985   915   976
Mv       3x      20    783   851   793   829
Gn1      4x      9     4250  4444  4623  4312
Po72     4x      11    3866  4296  3885  3807
Ri13     4x      14    3143  3250  3177  3188
GR12     4x      18    2191  2278  2235  2238
MP5      4x      17    1002  1038  1005  984
Pest     2x      21    303   312   295   302
