Lineage	Ploidy	Histone	N	S	N_S
Ax36G	3	H2A	3.1155559709630142e-06	1.9058908943211594e-05	0.16346979673632964
Ax36G	3	H2B	2.721770469487668e-06	3.8445336488115293e-05	0.07079585505329251
Ax36G	3	H3	3.7539646462839016e-06	1.6056165367282347e-05	0.23380206670849046
Ax36G	3	H4	4.198468487084722e-06	1.0946103959656528e-05	0.38355825073092614
BR2	2	H2A	1.0238951162221904e-05	0.00019177603597034877	0.053390149141496424
BR2	2	H2B	6.147245932424403e-06	0.0005639773730167905	0.010899809507501978
BR2	2	H3	6.274720791013827e-06	0.00011010948223317029	0.05698619831602094
BR2	2	H4	2.4762552735698518e-05	0.00018373879813052057	0.1347704077072944
Br	3	H2A	1.0236190620616445e-06	2.9091798496115514e-05	0.035185829511307914
Br	3	H2B	1.8691160113293654e-06	5.358465915838841e-05	0.03488155081484296
Br	3	H3	8.980045493307979e-07	2.3435438809218577e-05	0.0383182306352872
Br	3	H4	1.7235227092540807e-06	1.7772214485901677e-05	0.09697850037885346
GR12	4	H2A	3.0183203772128146e-06	1.2445166799666598e-05	0.2425295237741349
GR12	4	H2B	4.4956774083270625e-06	2.9553734394444515e-05	0.15211875928519394
GR12	4	H3	2.573127542509797e-06	1.2058799462074143e-05	0.213381734276491
GR12	4	H4	3.3652137636545727e-06	1.51958199912943e-05	0.22145654302186438
GR15	2	H2A	6.887143997870644e-06	0.000129757785467128	0.053076923076923105
GR15	2	H2B	4.060202961771203e-06	0.0006280767864267754	0.006464500916950485
GR15	2	H3	6.786058056822758e-06	7.488160239884491e-05	0.09062383602153574
GR15	2	H4	1.3269462984833005e-05	0.0001677343055426547	0.07911001236093942
GR6	3	H2A	2.5440463657386306e-06	3.0922484530137873e-06	0.8227173218436363
GR6	3	H2B	2.501100490538131e-06	1.0245520169566882e-05	0.24411649668772867
GR6	3	H3	2.4838741272210857e-06	4.760782709726384e-06	0.5217365039884042
GR6	3	H4	2.8940716029171843e-06	4.2024520140678115e-06	0.6886626172599255
Gn1	4	H2A	9.187282188790494e-07	1.419413612475449e-05	0.0647258988362661
Gn1	4	H2B	2.0173029357883885e-06	2.018338953786023e-05	0.09994866977146276
Gn1	4	H3	1.104396929144974e-06	8.198751335146637e-06	0.1347030644057485
Gn1	4	H4	1.8618003311880876e-06	5.3271267751610265e-06	0.349494278955246
HP14	2	H2A	1.051939513477975e-05	0.00013841418929039055	0.07599939853500311
HP14	2	H2B	5.400054000540006e-06	0.0005503735037350375	0.009811616954474096
HP14	2	H3	8.591439086765942e-06	8.971009418123378e-05	0.0957689228305722
HP14	2	H4	2.6405885780885776e-05	0.00022657897657897663	0.1165416411512553
Ianthe	2	H2A	3.201726370859168e-07	0.0020602766154367565	0.0001554027428584116
Ianthe	2	H2B	2.5339760944695253e-06	0.001204761762482661	0.00210330056396191
Ianthe	2	H3	1.1380582371870339e-05	0.00017677362273547817	0.06437941473259333
Ianthe	2	H4	4.63436698254512e-06	0.00034717201657991136	0.013348907058234605
Kan	3	H2A	5.678347325976587e-07	0.00032692233807379026	0.0017369101663205762
Kan	3	H2B	7.118911159690562e-07	0.0008512257952623596	0.0008363129030290271
Kan	3	H3	1.389656508674633e-06	8.227057051878287e-05	0.01689129539167795
Kan	3	H4	3.7474925867783006e-06	6.844511308797022e-05	0.05475179187682506
Kn4	2	H2A	3.3534540576794105e-06	0.0007953950811093667	0.004216085989621944
Kn4	2	H2B	1.6927593428224586e-05	0.000844659009441877	0.020040742168144023
Kn4	2	H3	2.7436972614795258e-05	0.00016195255474452555	0.16941364499051043
Kn4	2	H4	0.00011139774859287053	0.00027507426516572856	0.4049733570159858
LY1	2	H2A	1.0097272406270709e-05	0.00030944519536179655	0.03263024457195142
LY1	2	H2B	1.1922997076761657e-05	0.00048554652213188813	0.024555828398093303
LY1	2	H3	1.6220600162206e-05	0.00014176022416393343	0.1144227886056972
LY1	2	H4	3.048355629877369e-05	8.285274276076951e-05	0.3679245283018868
MP2	2	H2A	9.41640972644147e-06	0.0004705744293844981	0.020010457726651117
MP2	2	H2B	3.910111696398272e-06	0.0020017804533762223	0.0019533169533169532
MP2	2	H3	1.3788187690095744e-05	6.53525862293074e-05	0.21098151558556721
MP2	2	H4	2.1966899497263867e-05	0.00013066461402374714	0.16811666770983288
MP5	4	H2A	4.179518037830829e-06	2.074859299084192e-05	0.2014362149604842
MP5	4	H2B	4.407314710935767e-06	4.512699705225071e-05	0.09766470181547238
MP5	4	H3	4.325156490616261e-06	1.6507403599483576e-05	0.2620131303236307
MP5	4	H4	6.5470606629143265e-06	2.4308806618937607e-06	2.6932875667429452
MP7	3	H2A	5.170147495711321e-06	0.00010229132569558103	0.05054336191807387
MP7	3	H2B	3.271662495296985e-06	0.0002458391824398161	0.013308140967715432
MP7	3	H3	5.557588613928288e-06	2.1714466585768932e-05	0.25593944902936644
MP7	3	H4	9.203371832862685e-06	4.797603351074098e-05	0.19183269560628047
MV35	2	H2A	4.089283758204283e-06	2.4894472687669987e-06	1.6426472693392975
MV35	2	H2B	3.515206982891525e-06	9.319214188674716e-06	0.3771999346429253
MV35	2	H3	3.5247319302584546e-06	3.237926076390587e-06	1.088577023409867
MV35	2	H4	4.2479819897517735e-06	3.349479324743342e-06	1.2682514438500916
Mv	3	H2A	1.1643434376512283e-06	0.00016585968310106242	0.007020051020727954
Mv	3	H2B	1.4201240878607539e-07	0.004547734372760884	3.122706762221494e-05
Mv	3	H3	1.2656363619627951e-06	0.00010640995453804495	0.01189396581792815
Mv	3	H4	1.3411083789551826e-06	0.0006735988679595435	0.001990959965561774
Pest	2	H2A	1.078111774427308e-05	3.927779117062752e-05	0.2744838093730523
Pest	2	H2B	4.523950154031456e-06	0.000972472302209638	0.004652009259032057
Pest	2	H3	4.421146766560803e-06	0.00015390213159782457	0.02872700150842678
Pest	2	H4	2.0431843989081454e-05	0.0005596506494773368	0.036508210985126084
Pg14	2	H2A	9.817509817509819e-06	0.00031303348376519104	0.03136249100071995
Pg14	2	H2B	4.93272476584415e-06	0.0005865810642233408	0.00840928060365415
Pg14	2	H3	6.763032764580074e-06	9.721403254092993e-05	0.06956848294234312
Pg14	2	H4	1.866340181557573e-05	0.00041308329351807623	0.04518072289156626
Pg7	3	H2A	6.56802397392026e-06	5.3082402220333237e-05	0.12373260627237355
Pg7	3	H2B	4.290578575939808e-06	0.0001179510090904823	0.036375937849318696
Pg7	3	H3	5.525317982049865e-06	2.9150163920058588e-05	0.18954672080755697
Pg7	3	H4	8.574276864543193e-06	4.527576935584542e-05	0.18937893240761008
Po72	4	H2A	1.082153929276729e-06	1.4543726667113167e-05	0.07440692155771444
Po72	4	H2B	2.951462404021347e-06	3.1294909779366096e-05	0.09431126099514613
Po72	4	H3	1.2641676106908527e-06	1.6385922655108836e-05	0.07714961417181522
Po72	4	H4	1.6092169596196512e-06	1.3145645256462298e-05	0.1224144519515748
Po92	3	H2A	3.888883926045695e-06	9.904239087932898e-05	0.03926484297803174
Po92	3	H2B	2.736739775592576e-06	0.00024792986211433915	0.011038362834770016
Po92	3	H3	4.623941712906086e-06	3.571470674012578e-05	0.12946884168899106
Po92	3	H4	5.997452996557208e-06	7.001902959515321e-05	0.08565461462739778
Ri13	4	H2A	3.081153653854892e-06	4.436504225119068e-06	0.6945003312314437
Ri13	4	H2B	3.095114537771519e-06	8.441956012534103e-06	0.36663476250955124
Ri13	4	H3	3.0733859394820956e-06	1.8401348562449664e-06	1.6701960343024738
Ri13	4	H4	3.266405249485179e-06	2.5132336373891132e-06	1.2996822901345941
Rr3	3	H2A	2.316642357635847e-06	2.5386496259787356e-06	0.9125490709426681
Rr3	3	H2B	2.363249757261114e-06	4.9165225146850044e-06	0.4806750605132792
Rr3	3	H3	2.239415866598878e-06	1.810703942851624e-06	1.23676533396845
Rr3	3	H4	2.411793501392144e-06	1.2113456045146678e-06	1.9910036346385573
TP1	3	H2A	2.760018019427985e-06	1.0328725756546579e-05	0.267217668905443
TP1	3	H2B	3.167055599167115e-06	2.096274699184968e-05	0.1510801804934471
TP1	3	H3	2.649779562674076e-06	9.847555460918391e-06	0.2690799329021453
TP1	3	H4	3.195091269204e-06	4.2470138404387304e-06	0.7523147767453323
Waik	3	H2A	2.3081324631852873e-06	0.00022771212820826934	0.010136185899919352
Waik	3	H2B	5.502593096996959e-07	0.0011595085894754217	0.00047456251268361983
Waik	3	H3	2.0232395070463655e-06	0.0001915220115531232	0.010564005101237003
Waik	3	H4	1.276259601054683e-05	3.525776666758046e-05	0.36197970594325946
Yellow2	2	H2A	6.685397665280858e-06	0.000452934100061429	0.014760199473552895
Yellow2	2	H2B	2.2659089467148855e-06	0.001763524563100385	0.0012848751835535979
Yellow2	2	H3	4.473853839479119e-06	0.0006286313385559584	0.007116816431322209
Yellow2	2	H4	2.0184575973375516e-05	0.00020347078915534055	0.09920134510298441
